איזור גידול,סוג חלקה,אורגני,מספר חלקה ,_id,שם חלקת אם,שם חלקה מפורט,שטח ברוטו (דונם),מגוף השקייה,מקור מים,דונם לגידול שלחין,תיאור מיקום מדוייק,אזור פיצוי בצורת,אחוז בצורת,איזור ביטוח קנט,מספר משרד החקלאות,מספר חלקה ישן,SHAPE_Length,מרכז שדה קו-רוחב,מרכז שדה קו-אורך,OBJECTID *,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,חורף 2018,קיץ 2018,2019,2019 - קיץ,2020,2021,2022,2023,2024,פתיחת חלקה בביאקם 2019,,דוררת,גרב אבקי,אבנים,רגישות לקרה,חיטוי אדיגן,תאריך אחרון לחיטוי,התאמה לריסוס אווירי,הרכב הקרקע,ניקוז,רוחות,גשם,"אפיון סביבה ונוף:
מגבלות שהוטלו ע""י המשרד לאיכות הסביבה / נציבות המים / הרשות לשמירת הטבע ","נכסי טבע ונוף בסביבה
(צומח,חי,אתרים היסטוריים וארכאולוגים)",פוריות ,התאמת הקרקע לגידול ,התאמת מי השקיה לגידול,עשבים רעים,"הדברת עשבים
(חומרים / שיטות)",שאריות חומרי הדברת עשבים,מזיקים ומחלות בגידולים קודמים (בגידול ב 2017),מכשולים בחלקה ובסביבתה,זבלים אורגניים,נזק מבעלי חים,נזק מגידולים שכנים,בטיחות עובדים ,"גורמים מיקרוביאליים
(רמת הסיכון)",ינבוט,עלקת מצרית,דטורה,סיכונים לאורגני,type
משמר הנגב,פלחה,רגיל,2001,2001,1,1,232,,,232,,ד7,100,משמר הנגב צפון  - 1,42367,2001,881.698964,588171.5987,167926.6735,101,,אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',,שעורה,,כרב נח,חיטה א',,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,"סיכון גבוה בגידולים רגישים (חזירים, דורבנים)",,,,יש,,,,plot
משמר הנגב,שלחין,רגיל,2002,2002-1,2,1-Feb,54,131,משמר הנגב שפירים,54,,ד7,100,משמר הנגב צפון  - 1,42404,2002,1112.934919,588536.5987,166680.7859,169,,,,,,,חיטה ב',חיטה ב',אפונה,"תפו""א",גזר,חיטה א',שעורה,"תפו""א",חיטה א',חיטה ב',שעורה,,כרב נח,,"תפו""א",חיטה ב',,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2002,2002-2,2,2-Feb,62,132,משמר הנגב שפירים,62,צד דרומי - 5 ברזים דרומיים,ד7,100,משמר הנגב צפון  - 1,42372,2002,1744.591144,588723.6522,166246.2547,106,,,,,,,,חיטה ב',אפונה,"תפו""א",מללי+חיטה,חיטה א',שעורה,"תפו""א",חיטה א',חיטה ב',שעורה,,כרב נח,,"תפו""א",חיטה ב',,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2002,2002-3,2,3-Feb,69,133,משמר הנגב שפירים,69,צד דרומי - 5 ברזים דרומיים,ד7,100,משמר הנגב צפון  - 1,42403,2002,1840.507235,588762.5806,165907.2616,168,,,,,,,,חיטה ב',אפונה,"תפו""א",מללי+חיטה,חיטה א',שעורה,"תפו""א",חיטה א',חיטה ב',שעורה,,כרב נח,,"תפו""א",חיטה ב',,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2002,2002-2,2,2-Feb,89,132,משמר הנגב שפירים,89,צד צפוני - 11 ברזים צפוניים,ד7,100,משמר הנגב צפון  - 1,42372,2002,1744.591144,588723.6522,166246.2547,106,,,,,,,,חיטה ב',אפונה,"תפו""א",מללי+חיטה,חיטה א',שעורה,"תפו""א",חיטה א',חיטה ב',שעורה,,כרב נח,,חיטה א',חימצה,,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2002,2002-3,2,3-Feb,112,133,משמר הנגב שפירים,112,צד צפוני - 11 ברזים צפוניים,ד7,100,משמר הנגב צפון  - 1,42403,2002,1840.507235,588762.5806,165907.2616,168,,,,,,,,חיטה ב',אפונה,"תפו""א",מללי+חיטה,חיטה א',שעורה,"תפו""א",חיטה א',חיטה ב',שעורה,,כרב נח,,חיטה א',חימצה,,,,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2003,2003-1,3,1-Mar,65,131,משמר הנגב שפירים,65,,ד7,100,משמר הנגב צפון  - 1,42412,2003,1137.317732,588384.3238,166666.8919,177,,,,,,,"תפו""א / מללי",חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א",גזר / מללי,חיטה א',חיטה ב',חימצה,"תפו""א",,חיטה א',,חיטה ב',שעורה,,"תפו""א",,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2003,2003-2,3,2-Mar,66,132,משמר הנגב שפירים,66,,ד7,100,משמר הנגב צפון  - 1,42365,2003,1120.561193,588417.1443,166269.4563,99,,,,,,,"תפו""א / מללי",חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א",גזר / מללי,חיטה א',חיטה ב',חימצה,"תפו""א",,סלרי,,חיטה א',שעורה,,"תפו""א",,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2003,2003-3,3,3-Mar,72,133,משמר הנגב שפירים,76,,ד7,100,משמר הנגב צפון  - 1,42408,2003,1186.310748,588450.1262,165845.518,173,,,,,,,"תפו""א / מללי",חיטה א',חיטה ב',אפונה,חיטה א',"תפו""א",גזר / מללי,חיטה א',חיטה ב',חימצה,"תפו""א",,סלרי,,חיטה א',שעורה,,"תפו""א",,פתוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
משמר הנגב,שלחין,רגיל,2005,2005-1,5,1-May,145,151,מאגר רהט,145,,ד7,100,משמר הנגב צפון  - 1,42301,2005,1540.104831,588226.3939,170003.9553,187,,,,,,,חיטה א',"תפו""א",חיטה א',חיטה ב',אפונה,"תפו""א",חיטה א',חיטה ב',שעורה,"תפו""א",חיטה א',,חימצה,,חיטה א',"תפו""א",,,,פתוח,חיטה א',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plot
