איזור גידול,סוג חלקה,אורגני,מספר חלקה ,מספר חלקה מפורט,_id,שם חלקת אם,שם חלקה מפורט,שטח ברוטו (דונם),מגוף השקייה,מקור מים,דונם לגידול שלחין,type,דוררת,גרב אבקי,אבנים,רגישות לקרה,חיטוי אדיגן
משמר הנגב,פלחה,רגיל,2001,2001,2001,1,1,232,,,232,plot,,,,,
משמר הנגב,שלחין,רגיל,2002,2002-1,2002-1,2,2-1,54,131,משמר הנגב שפירים,54,plot,,,,,
משמר הנגב,שלחין,רגיל,2002,2002-2,2002-2--1,2,2-2,62,132,משמר הנגב שפירים,62,plot,,,,,
משמר הנגב,שלחין,רגיל,2002,2002-3,2002-3--1,2,2-3,69,133,משמר הנגב שפירים,69,plot,,,,,
משמר הנגב,שלחין,רגיל,2002,2002-2,2002-2--2,2,2-2,89,132,משמר הנגב שפירים,89,plot,,,,,
משמר הנגב,שלחין,רגיל,2002,2002-3,2002-3--2,2,2-3,112,133,משמר הנגב שפירים,112,plot,,,,,
משמר הנגב,שלחין,רגיל,2003,2003-1,2003-1,3,3-1,65,131,משמר הנגב שפירים,65,plot,,,,,
משמר הנגב,שלחין,רגיל,2003,2003-2,2003-2,3,3-2,66,132,משמר הנגב שפירים,66,plot,,,,,
משמר הנגב,שלחין,רגיל,2003,2003-3,2003-3,3,3-3,72,133,משמר הנגב שפירים,76,plot,,,,,
משמר הנגב,שלחין,רגיל,2005,2005-1,2005-1,5,5-1,145,151,מאגר רהט,145,plot,,,,,
משמר הנגב,שלחין,רגיל,2005,2005-2,2005-2,5,5-2,155,152,מאגר רהט,155,plot,,,,,
משמר הנגב,שלחין,רגיל,2005,2005-3,2005-3,5,5-3,156,153,מאגר רהט,156,plot,,,,,
משמר הנגב,שלחין,רגיל,2005,2005-4,2005-4,5,5-4,157,154,מאגר רהט,157,plot,,,,,
משמר הנגב,שלחין,רגיל,2005,2005-5,2005-5,5,5-5,131,155,מאגר רהט,131,plot,,,,,
משמר הנגב,שלחין,רגיל,2006,2006-1,2006-1,6,6-1,167,151,מאגר רהט,136,plot,,,,,
משמר הנגב,שלחין,רגיל,2006,2006-2,2006-2,6,6-2,138,152,מאגר רהט,139,plot,,,,,
משמר הנגב,שלחין,רגיל,2006,2006-3,2006-3,6,6-3,150,153,מאגר רהט,150,plot,,,,,
משמר הנגב,שלחין,רגיל,2006,2006-4,2006-4,6,6-4,144,154,מאגר רהט,144,plot,,,,,
משמר הנגב,שלחין,רגיל,2006,2006-5,2006-5,6,6-5,117,155,מאגר רהט,117,plot,,,,,
משמר הנגב,שלחין,רגיל,2007,2007-1,2007-1--1,7,7-1,207,150,מאגר רהט,199,plot,,,,,
משמר הנגב,שלחין,רגיל,2007,2007-1,2007-1--2,7,7-1,166,150,מאגר רהט,44,plot,,,,,
משמר הנגב,שלחין,רגיל,2007,2007-1,2007-1--3,7,7-1,122,150,מאגר רהט,122,plot,,,,,
משמר הנגב,שלחין,רגיל,2007,2007-2,2007-2--1,7,7-2,124,150,מאגר רהט,109,plot,,,,,
משמר הנגב,שלחין,רגיל,2007,2007-2,2007-2--2,7,7-2,21,150,מאגר רהט,21,plot,,,,,
משמר הנגב,שלחין,רגיל,2013,2013-1,2013-1,13,13-1,184,163,מאגר רהט,184,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2013,2013-2,2013-2,13,13-2,188,164,מאגר רהט,188,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2013,2013-3,2013-3,13,13-3,235,165,מאגר רהט,235,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2013,2013-4,2013-4,13,13-4,99,151,מאגר רהט,99,plot,,,,,
משמר הנגב,שלחין,רגיל,2014,2014-1,2014-1--1,14,14-1,130,173,מאגר רהט,130,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2014,2014-2,2014-2--1,14,14-2,132,174,מאגר רהט,107,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2014,2014-3,2014-3--1,14,14-3,131,175,מאגר רהט,122,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2014,2014-1,2014-1--2,14,14-1,130,173,מאגר רהט,130,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2014,2014-2,2014-2--2,14,14-2,132,174,מאגר רהט,132,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2014,2014-3,2014-3--2,14,14-3,131,175,מאגר רהט,131,plot,,מוקדי אבנים,,,
משמר הנגב,שלחין,רגיל,2015,2015-1,2015-1,15,15-1,340,171,מאגר רהט,340,plot,,מוקדי אבנים,,,
