plot,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2001,אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב'
2002-1,,,,,,חיטה ב',חיטה ב',אפונה,תפוא,גזר,חיטה א',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2002-2--1,,,,,,,חיטה ב',אפונה,תפוא,מללי+חיטה,חיטה א',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2002-3--1,,,,,,,חיטה ב',אפונה,תפוא,מללי+חיטה,חיטה א',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2002-2--2,,,,,,,חיטה ב',אפונה,תפוא,מללי+חיטה,חיטה א',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2002-3--2,,,,,,,חיטה ב',אפונה,תפוא,מללי+חיטה,חיטה א',שעורה,תפוא,חיטה א',חיטה ב',שעורה
2003-1,,,,,,תפוא ,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,גזר / מללי,חיטה א',חיטה ב',חימצה,תפוא
2003-2,,,,,,תפוא ,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,גזר / מללי,חיטה א',חיטה ב',חימצה,תפוא
2003-3,,,,,,תפוא,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,גזר / מללי,חיטה א',חיטה ב',חימצה,תפוא
2005-1,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2005-2,,,,,,חיטה א',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2005-3,,,,,,חיטה א',חיטה ב',תפוא ,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,תפוא,חיטה א'
2005-4,,,,,,פפריקה,מללי,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',שעורה / סורגום,תפוא,חיטה א',חיטה ב'
2005-5,,,,,,פפריקה,מללי,חיטה א',תפוא ,תפוא,חיטה א' + חיטה ב',חיטה ב',שעורה / סורגום,תפוא ,חיטה א',חיטה ב'
2006-1,,,,,,חיטה ב',חיטה ג',תפוא,חיטה א',חיטה ב',אפונה,תפוא ,חיטה א',חיטה ב',שעורה,תפוא
2006-2,,,,,,חיטה ב',חיטה ג',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2006-3,,,,,,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה / סורגום,תפוא,חיטה א',חיטה ב'
2006-4,,,,,,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה / סורגום,תפוא,חיטה א',חיטה ב'
2006-5,,,,,,פפריקה / חיטה א',מללי,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',שעורה / סורגום,תפוא,חיטה א',חיטה ב'
2007-1--1,,,,,,חיטה ב',חיטה ב',תפוא ,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2007-1--2,,,,,,חיטה ב',חיטה ב',תפוא,חיטה א',חיטה ב',אפונה,אפונה,,חיטה א',חיטה ב',שעורה
2007-1--3,,,,,,חיטה ב',חיטה ב',תפוא,חיטה א',חיטה ב',אפונה,אפונה,תפוא,חיטה א',חיטה ב',שעורה
2007-2--1,,,,,,חיטה ב',חיטה ב',תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
2007-2--2,,,,,,חיטה ב',חיטה ב',תפוא,חיטה א',חיטה ב',אפונה,אפונה,תפוא,חיטה א',חיטה ב',שעורה
2013-1,,,,,,תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב'
2013-2,,,,,,תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא ,חיטה א',חיטה ב'
2013-3,,,,,,תפוא,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא ,חיטה א',חיטה ב'
2013-4,,,,,,תפוא,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה
